1,Maxwell Yates,6/9/1995,Brazilian tapir
2,Domenic Tindall,1/13/1998,Red Panda
3,Cassandra Wade,10/13/1998,Common genet
4,Clarissa Reynolds,11/14/1993,Zebu
5,Mark Porter,10/13/1999,Bald Eagle
6,Laila Kerr,1/2/1997,Badger
7,Russel Knight,3/29/2001,Feral rock pigeon
8,Carmella Bullock,3/4/2004,Eastern diamondback rattlesnake
9,Jules Ebden,1/5/2000,Leopard
10,Elle Edler,10/4/2003,Rat
11,Russel Quinn,6/19/1998,Great cormorant
12,Daron Hopkinson,9/26/1996,Brown hyena
13,Owen Plant,1/2/2003,Eurasian red squirrel
14,Nancy Strong,3/18/1996,Emerald green tree boa
15,Ryan Stone,12/20/1992,Common turkey
16,Oliver Harper,3/3/1995,Gorilla
17,Katelyn Jarrett,3/7/1998,Chicken
18,Mackenzie Ellery,12/25/2003,Sea Lion
19,Mike Vinton,1/19/1996,Penguin
20,Domenic Calderwood,6/17/1999,Frilled dragon
21,Ada Calderwood,9/13/1991,Buttermilk snake
22,Kaylee Chapman,11/21/2001,Field flicker
23,Cassidy Graham,7/31/1999,Common wombat
24,Martin Rees,8/19/2003,Blue duck
25,Leroy Buckley,1/11/1992,Fringe-eared oryx
26,Mayleen Vangness,8/30/2003,Gerenuk
27,Bart Morrow,6/22/1999,Killer whale
28,Faith Forester,4/11/2004,Brown pelican
29,Freya Hall,2/23/1994,Feathertail glider
30,Ruby Brooks,11/25/1998,Gaur
31,Erin Doherty,3/13/2001,Great egret
32,Darlene Ward,6/16/1990,Feral rock pigeon
33,Bree Long,4/11/2004,Badger
34,Valentina Whatson,9/15/1997,Carmine bee-eater
35,Renee Campbell,6/15/1999,Helmeted guinea fowl
36,Harry Evans,9/9/1998,Dusky gull
37,Monica Weston,6/9/1990,Ant
38,Barney Leslie,7/27/1996,Golden jackal
39,Ember Mooney,2/23/2002,Common dolphin
40,Phoebe Rodwell,3/24/1995,Eastern grey kangaroo
41,Harriet Franks,8/21/1997,Cereopsis goose
42,Joseph Mills,4/6/1997,Kongoni
43,Emmanuelle Gardner,9/16/1993,Somali
44,Lauren Jacobs,12/15/1995,Kaffir cat
45,Ruth Eagle,12/17/2001,Rat
46,Vera Mccormick,8/24/2003,Butterfly
47,Janice Garner,3/7/1990,Gaur
48,Anthony Cowan,11/5/1998,European stork
49,Tyson Waterson,6/10/1996,Black-capped chickadee
50,Doug Watt,3/20/1991,Comb duck
51,Luke Tate,8/4/2000,Euro wallaby
52,Ronald Gilmore,3/12/2000,Common green iguana
53,Rita Walker,9/24/2004,Japanese macaque
54,Ally Patel,11/15/2002,European red squirrel
55,Oliver Forester,2/16/2003,Sloth
56,Oliver Knight,3/9/1993,Horned puffin
57,Ethan Bowen,3/23/1996,Black-footed ferret
58,Henry Bryant,4/28/1994,Feral rock pigeon
59,Chadwick Thorne,4/9/1991,Zebra
60,Julius Irving,8/18/1995,Giant armadillo
61,Dakota Lee,2/22/2001,Falcon
62,Ivette Whatson,7/13/1993,Barking gecko
63,Joseph Reyes,9/25/2003,Galapagos albatross
64,Josh Jenkin,10/18/1992,Frilled dragon
65,Eduardo Upton,11/12/1992,Great white pelican
66,Alex Payne,9/23/1998,Chestnut weaver
67,Isabel Murphy,4/28/1990,Deer
68,Charlize Lynn,1/23/1992,Kiwi
69,Davina Bullock,5/27/2004,Dama wallaby
70,Rocco Flynn,1/26/2004,Golden jackal
71,Rosalie Reading,8/25/2004,Fox
72,Chris Furnell,2/14/2002,Euro wallaby
73,Ryan Haines,5/23/2000,European wild cat
74,Eden Harrison,10/6/1996,Turkey
75,Julian Durrant,2/4/2003,Grizzly bear
76,Chadwick Simpson,8/1/1993,Dassie
77,Sylvia Cowan,7/9/1999,Falcon
78,Luna Gunn,1/13/2004,Boar
79,Daron Tailor,6/1/1997,Bat
80,Sabina Pratt,6/15/1990,Cape fox
81,Rylee Rehman,7/1/1991,Gerenuk
82,Daron Redden,10/23/2003,Black-tailed prairie dog
83,Enoch Pierce,6/24/1994,Chacma baboon
84,Morgan Woodcock,2/1/1991,Great kiskadee
85,Stella Baldwin,11/7/1992,Panda
86,Maia Lloyd,1/7/1994,Cat
87,Carissa Bell,12/13/1994,Fringe-eared oryx
88,Chadwick Styles,12/3/1997,Common ringtail
89,Adalind Connor,11/5/2001,Yak
90,Oliver Overson,7/21/1990,Bushpig
91,Rocco Weldon,10/29/1994,Gray langur
92,Faith Robertson,2/20/1990,Giraffe
93,Carter Potter,5/30/1998,Avocet
94,Denny Stone ,11/15/1999,Caribou
95,Tom Dubois,9/21/1995,Lemur
96,Caleb White,12/14/1994,Capybara
97,Noah Ebden,2/14/2003,Seal
98,Tony Nurton,1/9/2003,Vampire Bat
99,Matt Nicholls,7/24/2001,Rat
100,Joseph Drummond,3/23/2000,Deer
101,Martin Richardson,6/23/2000,Common turkey
102,Daron Farrell,10/26/1997,Indian leopard
103,Melody Bright,4/26/1994,Bushbuck
104,Harry Boyle,3/2/2000,Ant
105,Rae Whitehouse,6/1/1997,Komodo Dragon
106,Karla Brooks,9/25/1992,European spoonbill
107,Juliet Garcia,5/1/1998,Worm
108,Denis Snell,7/26/1999,Giant anteater
109,Percy Snell,8/15/1997,Honey badger
110,Javier Pratt,4/15/1994,Cormorant
111,Jolene Mitchell,4/19/1990,Groundhog
112,Janice Coleman,7/4/1990,Eastern indigo snake
113,Taylor Ellwood,7/11/1994,Fisher
114,Selena Uddin,9/21/2004,King cormorant
115,Iris Baker,7/28/2002,Horned puffin
116,Joseph Selby,11/12/1993,Sparrow
117,Lily Clayton,7/30/1998,Baboon
118,Freya Amstead,3/31/1995,Killer whale
119,Lauren Willson,4/30/1994,Blue shark
120,Johnathan Franks,1/27/2004,Red Panda
121,Alma Dyson,3/18/2003,Dalmatian
122,Mary Blackburn,1/22/1993,Cormorant
123,Camila Armstrong,7/21/1998,Dusky rattlesnake
124,Leanne Windsor,10/9/2003,Eastern grey kangaroo
125,Luke Garner,2/21/2000,Swan
126,Macy Gavin,1/4/2003,Alpaca
127,Mason Wills,4/18/2002,Eastern diamondback rattlesnake
128,John Herbert,11/8/1992,Eurasian beaver
