1,Matt Stanley,2/4/1991,Canadian river otter
2,Stacy Riley,4/8/2001,Euro wallaby
3,Colleen Douglas,8/14/1994,Cormorant
4,Logan Powell,10/13/2004,Common wolf
5,Ellen Wilcox,5/19/1992,Indian star tortoise
6,Beatrice Martin,9/15/1994,Red Panda
7,Maddison Norburn,5/1/1998,Gila monster
8,Helen Morris,5/27/1998,Groundhog
9,Adela Larkin,3/12/1995,Indian giant squirrel
10,Nathan Neville,6/25/1998,Indian star tortoise
11,Benny Knight,3/5/1994,Carpet python
12,Tom Mcneill,7/21/1994,Fly
13,Sloane Griffiths,12/15/2002,Common green iguana
14,Angelina Jennson,6/16/1994,Cape Barren goose
15,Chelsea Butler,9/11/1991,Gorilla
16,Violet Phillips,10/17/2004,Common langur
17,Alan Jones,8/18/1990,Bat
18,Kaylee Vangness,4/2/2002,Giant armadillo
19,Gil Brooks,12/6/1990,JellyFish
20,Andie Judd,11/21/2004,Chital
21,Ramon Bingham,8/18/1990,Crested porcupine
22,Julian Wallace,10/7/2000,Gray rhea
23,Georgia Price,3/16/1997,European badger
24,Doug Niles,4/20/1996,Golden eagle
25,Elle Judd,1/20/2003,Groundhog
26,Mackenzie Lewis,9/21/2002,Canadian river otter
27,Jacob Holmes,2/19/1993,Clown Fish
28,Carter Lewis,3/28/1998,Duck
29,Ryan Clark,5/31/1998,Burrowing owl
30,Julius Bradshaw,10/4/1998,Brown pelican
31,Anabelle Vass,3/26/2004,Polar Bear
32,Javier Simpson,4/30/2002,Wolverine
33,Camden Nurton,1/2/1996,Common wombat
34,Percy Snell,2/16/2004,Indian star tortoise
35,Boris Shea,9/1/2001,Duck
36,Matt Utterson,10/2/2004,Harbor seal
37,William Walter,3/26/2001,Badger
38,Jules Calderwood,11/19/2001,Four-horned antelope
39,William Wallace,5/10/2001,Caribou
40,Nicole Thornton,5/24/2001,Golden jackal
41,Carla Selby,10/31/1999,Giant armadillo
42,Chester Hammond,3/14/2001,Galah
43,Bryon Price,7/17/1994,Raccoon
44,Elijah Dale,6/11/2002,Desert spiny lizard
45,Carl Coll,12/27/1995,Shirmp
46,David Irving,12/25/1996,Great egret
47,Daniel Ingram,10/17/1996,Vulture
48,Fiona Hopkins,5/29/2004,Penguin
49,Mina Allington,12/13/1996,Cape Barren goose
50,Johnathan Baker,9/2/1998,Falcon
51,Gwenyth Kelly,8/8/1992,JellyFish
52,Jayden Uttley,5/3/1999,Kudu
53,Adalind Flett,6/22/2003,Komodo Dragon
54,Bryon Wright,12/21/1997,Eastern fox squirrel
55,Owen Newman,12/8/1998,Cobra
56,Doris Jarvis,4/1/1994,Black-tailed deer
57,Martin Utterson,5/2/1997,Fox
58,Mason Harvey,12/19/1999,Javanese cormorant
59,Carina Irving,7/30/1993,Bear
60,Fred Vince,1/25/2004,Kelp gull
61,Christine Edmonds,8/28/1991,Greater flamingo
62,Gladys Darcy,9/24/1994,African elephant
63,Kamila Stewart,7/16/2002,Helmeted guinea fowl
64,Alexander King,1/4/2003,Chacma baboon
65,Chris Morgan,9/1/1997,Killer whale
66,Eduardo Wood,6/25/1991,eagle
67,Henry Ward,10/26/1995,Grizzly bear
68,Mona Gibbons,9/7/1998,Vampire Bat
69,Bart Fields,7/29/1990,Jungle cat
70,Caleb Miller,4/27/1996,Worm
71,Ethan Walton,8/26/2003,Javan gold-spotted mongoose
72,Oliver Allcott,12/2/1995,Goliath heron
73,Ivette Lloyd,1/5/1998,Gambels quail
74,Nancy Widdows,9/29/1996,Griffon vulture
75,Isla Ashwell,11/15/1998,Giant armadillo
76,Joyce Garner,6/15/1991,Galapagos dove
77,Marie Driscoll,2/25/1998,Avocet
